Date,Combined_Portfolio,ISONE
2017-04-18,1544.7740000000001,1544.7740000000001
2017-04-19,7113.33,7113.33
2017-04-20,-1846.5859999999998,-1846.5859999999998
2017-04-21,-1385.706,-1385.706
2017-04-22,-3980.8579999999993,-3980.8579999999993
2017-04-23,2786.588,2786.588
2017-04-24,1105.5939999999998,1105.5939999999998
2017-04-25,1887.9559999999997,1887.9559999999997
2017-04-26,5771.752000000001,5771.752000000001
2017-04-27,844.032,844.032
2017-04-28,-1372.448,-1372.448
2017-04-29,1956.9759999999999,1956.9759999999999
2017-04-30,1615.1939999999984,1615.1939999999984
2017-05-01,-3084.2279999999996,-3084.2279999999996
2017-05-02,-1446.7179999999996,-1446.7179999999996
2017-05-03,2084.054,2084.054
2017-05-04,4312.854,4312.854
2017-05-05,6970.165999999999,6970.165999999999
2017-05-06,6236.692,6236.692
2017-05-07,11875.122,11875.122
2017-05-08,2437.288,2437.288
2017-05-09,509.1099999999999,509.1099999999999
2017-05-10,-55.692000000000036,-55.692000000000036
2017-05-11,195.92999999999992,195.92999999999992
2017-05-12,578.928,578.928
2017-05-13,1135.8059999999998,1135.8059999999998
2017-05-14,2389.506,2389.506
2017-05-15,-2725.0859999999993,-2725.0859999999993
